id,highlights,masked_highlights
10328121,Nonspecific esophageal motility disorders in children without gastroesophageal reflux.,Nonspecific esophageal <mask> disorders <mask> <mask> without gastroesophageal reflux.
10333193,The effect of pancreatic enzyme supplementation in patients with steatorrhoea after total gastrectomy.,<mask> effect <mask> pancreatic enzyme <mask> in patients with <mask> after total gastrectomy.
10340781,The world's first obesity surgery performed by a surgeon at a distance.,<mask> <mask> first obesity surgery performed by a surgeon at a distance.
10343211,Prospective comparative evaluation of video US endoscope.,Prospective comparative evaluation <mask> <mask> US endoscope.
10344428,Endoscopic hydrogen peroxide spray may facilitate localization of the bleeding site in acute upper gastrointestinal bleeding.,Endoscopic hydrogen peroxide <mask> may <mask> <mask> of the bleeding site in <mask> upper gastrointestinal bleeding.
10347109,Reversal of type 1 hepatorenal syndrome with the administration of midodrine and octreotide.,<mask> of type 1 <mask> syndrome with the <mask> of midodrine <mask> octreotide.
10347732,Pineal metastasis as first clinical manifestation of colorectal adenocarcinoma. Case report.,<mask> <mask> as first clinical <mask> of colorectal adenocarcinoma. Case report.
10349183,Medical treatment of obesity from a multi professional perspective.,Medic<mask>l treatment <mask> obesity from a <mask> professional perspective.
10354011,Round Table: Urticaria in relation to infections.,Round <mask> Urticaria in relation <mask> infections.
10354340,The patterns of small bowel motility: physiology and implications in organic disease and functional disorders.,The patterns of <mask> bowel <mask> physiology and implications in <mask> disease and <mask> disorders.
10354345,"The pharmacological properties of the novel selective 5-HT3 receptor antagonist, alosetron, and its effects on normal and perturbed small intestinal transit in the fasted rat.","<mask> pharmacological properties of the <mask> selective 5-HT3 receptor antagonist, alosetron, and its effects on normal and <mask> <mask> <mask> transit <mask> the fasted rat."
10359178,The utility of technetium 99m pertechnetate scintigraphy in the evaluation of patients with Meckel's diverticulum.,<mask> <mask> of technetium <mask> pertechnetate <mask> in the evaluation of patients with Meckel's diverticulum.
10359874,Food allergy. Part 2: diagnosis and management.,Food <mask> Part 2: diagnosis <mask> management.
10361185,"Contribution of diet, tumour volume and patient-related factors to weight loss in patients with colorectal liver metastases.",Contribution <mask> <mask> tumour <mask> and patient-related factors to weight <mask> in <mask> with colorectal liver metastases.
10365882,Radiofrequency ablation followed by resection of malignant liver tumors.,<mask> <mask> <mask> by resection of malignant liver tumors.
10373126,Duodenogastric reflux: clinical and therapeutic aspects.,<mask> reflux: <mask> and therapeutic aspects.
10377694,Epidemiology of Crohn's disease in the Rijeka-Istra region.,<mask> of Crohn's disease in <mask> Rijeka-Istra region.
10378353,Realities of diagnosing Helicobacter pylori infection in clinical practice: a case for non-invasive indirect methodologies.,Realities of diagnosing Helicobacter pylori infection in <mask> <mask> a <mask> for <mask> indirect methodologies.
10385938,Medical consequences of substance abuse.,Medical consequences <mask> <mask> abuse.
10388344,Chronic acalculous cholecystitis: reproduction of pain with cholecystokinin and relief of symptoms with cholecystectomy.,<mask> acalculous cholecystitis: reproduction of <mask> <mask> cholecystokinin and <mask> of symptoms <mask> cholecystectomy.
10388979,Continuous subcutaneous infusion of glucagon-like peptide 1 lowers plasma glucose and reduces appetite in type 2 diabetic patients.,<mask> <mask> infusion of <mask> peptide 1 lowers <mask> glucose <mask> reduces appetite in type 2 diabetic patients.
10389531,"Lowering of diastolic blood pressure < or = 90 mmHg should not be attempted, except in type 2 diabetics; the 'Hypertension optimal treatment' (HOT) trial.","Lowering <mask> diastolic blood <mask> < <mask> = 90 mmHg should <mask> be attempted, <mask> in <mask> <mask> diabetics; the 'Hypertension optimal treatment' (HOT) trial."
10389695,Fatal ulcerative panenteritis following colectomy in a patient with ulcerative colitis.,Fatal <mask> panenteritis follow<mask>g colectomy in a <mask> with <mask> colitis.
10390554,Dose effect of dicyclomine on the reduction of peristaltic artifacts on MRI of the abdomen.,Dose <mask> of <mask> on the reduction of peristaltic artifacts on MRI of the abdomen.
10392508,Surgical excision of heterotopic bone after hip surgery followed by oral indomethacin application: is there a clinical benefit for the patient?,Surgical excision <mask> heterotopic <mask> <mask> hip surgery followed <mask> oral indomethacin application: is there a <mask> benefit <mask> the patient?
10392666,A risk-benefit assessment of metformin in type 2 diabetes mellitus.,<mask> <mask> assessment of <mask> in type 2 diabetes mellitus.
10392913,Postoperative ad lib feeding for hypertrophic pyloric stenosis.,Postoperative <mask> lib <mask> for hypertrophic pyloric stenosis.
10394076,Effect of upper gastrointestinal endoscopy on circulation in the elderly.,Effect <mask> upper gastrointestinal <mask> <mask> circulation in the elderly.
10398183,Role of surgical biopsies in the management of bone marrow transplant patients.,Role of surgical biopsies in the management of <mask> marrow <mask> patients.
10400105,Lymphonodular hyperplasia as a sign of food allergy in children.,<m<mask>sk> hyperplasia as a sign of food <mask> in children.
10402837,Imaging the patient with acute abdominal pain: current concepts.,<mask> the <mask> with acute <mask> pain: current concepts.
10403740,Gall bladder emptying in severe idiopathic constipation.,Gall bladder empty<mask>g in severe <mask> constipation.
10408559,"A double-blind, placebo-controlled trial of diclofenac/misoprostol in Alzheimer's disease.","<mask> double-blind, placebo-controlled <mask> <mask> diclofenac/misoprostol in Alzheimer's disease."
10411050,Prostate brachytherapy: treatment strategies.,<mask> brachytherapy: treatment strategies.
10413838,Fourier analysis of pupil oscillations for measuring central activation in psychosomatic patients.,Fourier analysis of pupil oscillations <mask> measur<mask>g <mask> activation in psychosomatic patients.
10413915,"Spontaneous bacterial peritonitis in hepatic cirrhosis: prevalence, predictive factors and prognosis.","Spontaneous <mask> peritonitis <mask> <mask> cirrhosis: prevalence, predictive factors and prognosis."
10414538,Surgical treatment of complete rectal prolapse: results of abdominal and perineal approaches.,<mask> <mask> of complete rectal prolapse: results of abdominal and perineal approaches.
10421395,Effects of parenteral nutrition support and chemotherapy on the phasic composition of tumor cells in gastrointestinal cancer.,Effects of parenteral nutrition <mask> <mask> chemo<mask>rapy on the <mask> composition of tumor cells in <mask> cancer.
10425421,Calculation of esophageal variceal wall tension by direct sonographic and manometric measurements.,Calculation of esophageal <mask> <mask> tension <mask> direct sonographic and manometric measurements.
10427792,Ruptured primary splenic angiosarcoma into the colon. Presentation as anal bleeding.,<mask> <mask> splenic angiosarcoma into the <mask> Presentation as anal bleeding.
10429540,Orlistat (Xenical).,<mask> (Xenical).
10432885,Diagnostic value of fine needle aspiration biopsy of palpable colonic masses.,<mask> value of fine needle aspiration <mask> of <mask> colonic masses.
10432955,Syncope in hospital internal medicine.,Syncope <mask> hospital <mask> medicine.
10432966,Intestinal preparation for colon enema with fleet sodium phosphate: comparative study with the conventional method.,Intestinal preparation for colon enema with fleet sodium <mask> <mask> study with the <mask> method.
10435884,A modified quantitative subjective global assessment of nutrition for dialysis patients.,A modified quantitative <mask> global assessment of nutrition <mask> <mask> patients.
10440219,"Colonic tuberculosis: clinical features, endoscopic appearance and management.","Colonic tuberculosis: clinical features, endoscopic <mask> <mask> management."
10440289,The efficacy of low-dose oral corticosteroids in the treatment of vitiligo patients.,<mask> efficacy of low-dose oral corticosteroids <mask> the <mask> of vitiligo patients.
10451474,Prevalence of malnutrition in surgical patients: evaluation of nutritional support and documentation.,Prevalence <mask> malnutrition in <mask> patients: evaluation <mask> nutritional support and documentation.
10457045,Functional disorders of the biliary tract and pancreas.,<mask> <mask> of the biliary tract and pancreas.
10459182,Foreign bodies of gastrointestinal tract.,Foreign <mask> <mask> gastrointestinal tract.
10459465,Neurogenic bladder dysfunction.,Neurogenic <mask> dysfunction.
10463985,Mantle cell lymphoma in leukemic phase: characterization of its broad cytologic spectrum with emphasis on the importance of distinction from other chronic lymphoproliferative disorders.,<mask> cell lymphoma in leukemic phase: characterizati<mask> of its <mask> cytologic spectrum with <mask> on the importance of distinction <mask> other chronic <mask> disorders.
10468165,Nabumetone induces less gastrointestinal mucosal changes than diclofenac retard.,Nabumetone induces <mask> gastrointestinal mucosal <mask> than <mask> retard.
10473894,"Effect of doxapram on episodes of apnoea, bradycardia and hypoxaemia in preterm infants.","Effect <mask> doxapram <mask> episodes <mask> apnoea, bradycardia <mask> <mask> in preterm infants."
10475315,The relative potency of oral transmucosal fentanyl citrate compared with intravenous morphine in the treatment of moderate to severe postoperative pain.,The relative potency <mask> oral transmucosal fentanyl citrate compared <mask> <mask>travenous <mask> in the <mask> <mask> <mask> to severe postoperative pain.
10477212,Gastrointestinal symptoms in Chinese patients with Type 2 diabetes mellitus.,Gastro<mask>testinal symptoms in Chinese patients <mask> Type <mask> diabetes mellitus.
10478522,Leiomyomas of small bowel.,<mask> of small bowel.
10482697,Enterotrophic effects of glucagon-like peptide 2 are enhanced by neurotensin.,Enterotrophic <mask> <mask> glucagon-like peptide <mask> are enhanced by neurotensin.
10484295,Three-year results of laparoscopic vertical banded gastroplasty.,Three-year results of <mask> <mask> banded gastroplasty.
10484890,Balloon dilatation in achalasia cardia.,Balloon <mask> in <mask> cardia.
10494687,Lymphonodular hyperplasia on the duodenal bulb indicates food allergy in children.,<mask> hyperplasia on the duodenal bulb <mask> food <mask> in children.
10503068,Primary neoplasms of the jejunum-ileum. The clinico-diagnostic and surgical therapy considerations: the clinical cases and a retrospective study of our experience.,Primary neoplasms of the jejunum-ileum. <mask> clinico-diagnostic <mask> surgical therapy <mask> the <mask> cases <mask> a <mask> study of our experience.
10505711,Somatic electrical nerve stimulation regulates the motility of sphincter of Oddi in rabbits and cats: evidence for a somatovisceral reflex mediated by cholecystokinin.,Somatic electrical <mask> stimulation regulates the motility <mask> sphincter <mask> Oddi in <mask> and <mask> <mask> for a somatovisceral reflex <mask> by cholecystokinin.
10509772,Increased lipid utilization in weight losing and weight stable cancer patients with normal body weight.,Increased lipid <mask> in <mask> losing <mask> <mask> stable cancer <mask> with normal body weight.
10514115,Different prevalences of reflux oesophagitis and hiatus hernia among dyspeptic patients in England and Singapore.,Different prevalences <mask> reflux <mask> and hiatus hernia among dyspeptic patients in <mask> and Singapore.
10514119,Determinants of Helicobacter pylori seroprevalence among Italian blood donors.,Determinants of Helicobacter pylori seroprevalence <mask> <mask> <mask> donors.
10518386,Cerebellar infarct with complications.,Cerebellar infarct <mask> complications.
10520866,"How does colorectal cancer present? Symptoms, duration, and clues to location.",<mask> does colorectal cancer present? <mask> <mask> and clues to location.
10520921,Reoperative laparoscopic antireflux surgery.,Reoperative <mask> antireflux surgery.
10521979,Helicobacter pylori and prurigo nodularis.,Helicobacter pylori <mask> <mask> nodularis.
10525441,An oral sensitization model in Brown Norway rats to screen for potential allergenicity of food proteins.,<mask> oral sensitization model <mask> Brown Norway <mask> to screen for potential allergenicity <mask> food proteins.
10525801,Laparoscopic adjustable silicone gastric banding: radiological appearances of a new surgical treatment for morbid obesity.,<mask> adjustable silicone gastric <mask> radiological appearances of a new <mask> <mask> for morbid obesity.
10532118,Colonic polyps in children. Experience with polypectomy.,Colonic <mask> in children. <mask> with polypectomy.
10536324,Endoscopic and histologic healing of Crohn's (ileo-) colitis with azathioprine.,<mask> and histologic healing <mask> Crohn's (ileo-) colitis <mask> azathioprine.
10540693,Orlistat. No hurry....,Orlistat. <mask> hurry....
10548362,Extraesophageal autonomic dysfunction in patients with achalasia.,<mask> autonomic dysfunction <mask> patients with achalasia.
10548902,"Study of the month. Long-term (1-2 years) clinical trials with orlistat, a new drug for the treatment of obesity.",Study <mask> the <mask> Long-term <mask> years) clinical <mask> with <mask> a new drug for the treatment <mask> obesity.
10549257,Primary anaplastic large cell lymphoma of the small intestine.,<mask> anaplastic large cell lymphoma <mask> the <mask> intestine.
10550370,Hiccup.,<mask>
10550569,"Erucylphosphocholine: pharmacokinetics, biodistribution and CNS-accumulation in the rat after intravenous administration.","Erucylphosphocholine: pharmacokinetics, biodistribution <mask> <mask> in <mask> rat after intravenous administration."
10551441,Orlistat: a review of its use in the management of obesity.,<mask> a review of its use in <mask> <mask> of obesity.
10554119,Characteristics and prevalence of Helicobacter heilmannii infection in children undergoing upper gastrointestinal endoscopy.,Characteristics <mask> prevalence of <mask> heilmannii infection in <mask> undergoing upper <mask> endoscopy.
10554367,Malabsorptive procedures for severe obesity: comparison of pancreaticobiliary bypass and very very long limb Roux-en-Y gastric bypass.,Malabsorptive <mask> <mask> severe obesity: comparison of pancreaticobiliary bypass and very very long <mask> Roux-en-Y <mask> bypass.
10559580,Helicobacter pylori and Behçet's disease.,<mask> pylori <mask> Behçet's disease.
10559764,Down syndrome: perinatal complications and counseling experiences in 216 patients.,<mask> syndrome: perinatal <mask> <mask> counseling experiences in 216 patients.
10560076,Intra amniotic candidiasis. Case report and meta-analysis of 54 cases.,Intra <mask> c<mask>idiasis. Case report and meta-analysis <mask> 54 cases.
10565375,Obesity surgery: a model of programmed undernutrition.,<mask> surgery: a model <mask> programmed undernutrition.
10566204,Myogenic tumors of the digestive tract.,Myogenic <mask> of the <mask> tract.
10566731,Predictors of large esophageal varices in patients with cirrhosis.,<mask> <mask> large esophageal <mask> in patients with cirrhosis.
105777,Early postoperative feeding with elemental diet.,Early postoperative <mask> with <mask> diet.
10578018,"Changes in weight, fluid balance and serum albumin in patients referred for nutritional support.",Changes <mask> <mask> fluid balance and serum <mask> <mask> patients <mask> for nutritional support.
10582761,"Ultrasonography in the evaluation of extension, activity, and follow-up of ulcerative colitis.","Ultrasonography in the evaluation <mask> extension, activity, <mask> <mask> <mask> ulcerative colitis."
10584706,Lysosomal inclusions in gastric parietal cells in mucolipidosis type IV: a novel cause of achlorhydria and hypergastrinemia.,Lysosom<mask>l <mask> <mask> gastric <mask> cells <mask> mucolipidosis type IV: a novel cause of <mask> and hypergastrinemia.
10588171,Patient subgroups in irritable bowel syndrome that can be defined by symptom evaluation and physical examination.,<mask> <mask> in irritable bowel syndrome that can be defined by <mask> <mask> and physical examination.
10592881,Isolated jejunal tuberculosis mimicking Crohn disease. Diagnosis by push video-enteroscopy.,<mask> <mask> tuberculosis mimicking <mask> disease. Diagnosis by push video-enteroscopy.
10593629,Core mental state in irritable bowel syndrome.,Core mental <mask> in irritable <mask> syndrome.
10594523,Long-term results of octreotide-therapy in severe dumping syndrome.,Long-term results of <mask> <mask> severe dumping syndrome.
10595697,Doxazosin GITS compared with doxazosin standard and placebo in patients with mild hypertension.,<mask> GITS compared with doxazosin st<mask>ard and <mask> in <mask> with mild hypertension.
10596569,Preventive sclerotherapy of esophageal varices with a high risk of hemorrhage: a prospective randomized controlled study.,Preventive <mask> of esophageal <mask> with a high risk of hemorrhage: a <mask> randomized <mask> study.
10603110,Renal transplantation in children under 5 years of age.,<mask> <mask> in <mask> under 5 years of age.
10604046,"Treatment of functional dyspepsia with a fixed peppermint oil and caraway oil combination preparation as compared to cisapride. A multicenter, reference-controlled double-blind equivalence study.","Treatment <mask> functional <mask> with a <mask> peppermint oil <mask> caraway oil combination preparation as compared to cisapride. <mask> multicenter, reference-controlled double-blind <mask> study."
10609362,"Intestinal tuberculosis, a difficult suspected diagnosis.",Intestinal <mask> a <mask> suspected diagnosis.
10609815,Celecoxib versus diclofenac in long-term management of rheumatoid arthritis: randomised double-blind comparison.,Celecoxib <mask> diclofenac <mask> long-term management of rheumatoid <mask> randomised double-blind comparison.
10612909,"Use of serology, the urease test & histology in diagnosis of Helicobacter pylori infection in symptomatic & asymptomatic Indians.",Use of <mask> the <mask> <mask> & histology in <mask> of Helicobacter pylori infection in symptomatic & asymptomatic Indians.
10622088,Does famotidine have similar efficacy to misoprostol in the treatment of non-steroidal anti-inflammatory drug-induced gastropathy?,Does famotidine <mask> similar <mask> to <mask> in the <mask> of non-steroidal anti-inflammatory drug-induced gastropathy?
10623873,Digestive carcinoid tumors: often undiagnosed endocrine tumors (a case report).,<mask> carcinoid tumors: <mask> <mask> endocrine tumors (a case report).
10624374,Future trends in weight management.,<mask> trends <mask> weight management.
10624380,"Orlistat, a gastrointestinal lipase inhibitor, in therapy of obesity with concomitant hyperlipidemia.","Orlistat, a gastro<mask>testinal <mask> inhibitor, in therapy of <mask> with concomitant hyperlipidemia."
10628243,Very low birth weight infants--mortality and predictive risk factors.,Very low <mask> <mask> infants--mortality and predictive <mask> factors.
10628373,Intraperitoneal versus intravenous CPT-11 for peritoneal seeding and liver metastasis.,Intra<mask> versus intravenous <mask> for peritoneal seeding <mask> liver metastasis.
10630435,Duodenojejunitis: is it idiopathic or is it Henoch-Schönlein purpura without the purpura?,Duodenojejunit<mask>: <mask> it <mask> or is it Henoch-Schönlein purpura without <mask> purpura?
10631460,Importance-satisfaction discrepancies are associated with health-related quality of life in five-year survivors of endocrine gastrointestinal tumours.,Importance-satisfaction discrepancies are associated <mask> health-related quality of <mask> <mask> five-year survivors of endocrine gastrointestinal tumours.
10632323,Phase I clinical study of fish oil fatty acid capsules for patients with cancer cachexia: cancer and leukemia group B study 9473.,Phase <mask> clinical <mask> of fish oil fatty acid capsules for patients <mask> <mask> cachexia: <mask> and <mask> group B <mask> 9473.
10632642,"A double-blind, randomized, placebo-controlled dose-ranging study to evaluate the efficacy of alosetron in the treatment of irritable bowel syndrome.","A double-blind, <mask> placebo-controlled dose-ranging study to <mask> <mask> efficacy of <mask> in <mask> treatment of irritable <mask> syndrome."
10638396,Effect of orlistat on blood cyclosporin concentration in an obese heart transplant patient.,<mask> of orlistat on blood <mask> concentration in an obese <mask> <mask> patient.
10638477,Role of radiologic contrast studies in the early postoperative period after bariatric surgery.,Role <mask> radiologic <mask> studies <mask> the early <mask> period after bariatric surgery.
10638479,Quality-of-life outcome after laparoscopic adjustable gastric banding for morbid obesity.,<mask> outcome after <mask> adjustable gastric <mask> for morbid obesity.
10648579,Significance of detecting Epstein-Barr-specific sequences in the peripheral blood of asymptomatic pediatric liver transplant recipients.,<mask> of detect<mask>g Epstein-Barr-specific sequences in the peripheral blood of asymptomatic pediatric <mask> transplant recipients.
10651664,Triple therapy in the eradication of Helicobacter pylori in patients with duodenal ulcer disease: results of a multicentre study in South-East Asia. South-East Asia Multicenter Study Group.,Triple <mask> <mask> the eradication <mask> Helicobacter pylori <mask> patients with duodenal <mask> <mask> results <mask> a <mask> study <mask> South-East <mask> South-East Asia Multicenter Study Group.
10653235,Endosonographic examination of gastrointestinal anastomoses with suspected locoregional tumor recurrence.,Endosonographic <mask> of gastrointestinal <mask> with <mask> locoregional tumor recurrence.
10654954,Changes in mesenteric blood flow response to feeding: conventional versus fiber-optic phototherapy.,Changes in mesenteric blood <mask> response to feeding: <mask> <mask> fiber-optic phototherapy.
10659567,A risk scoring system to predict outcome of non-variceal upper gastrointestinal bleeding in Thai patients.,A risk scoring <mask> to predict outcome of <mask> <mask> gastrointestinal bleeding in <mask> patients.
10660694,Good clinical practice in nutritional management in cancer patients: malnutrition and nutritional assessment.,Good clinical practice in nutritional management in cancer <mask> <mask> <mask> nutritional assessment.
10672844,Actinomycosis of the colon: a rare form of presentation.,<mask> of <mask> colon: a rare form of presentation.
10673521,Enteropathy-type intestinal T-cell lymphoma: clinical features and treatment of 31 patients in a single center.,Enterop<mask>thy-type <mask> <mask> lymphoma: clinical features and treatment of <mask> patients in a single center.
10681716,Chelation therapy in patients with thalassemia using the orally active iron chelator deferiprone (L1).,<mask> therapy in patients with thalassemia using the orally <mask> iron <mask> <mask> (L1).
10682075,Prevalence of gastroesophageal reflux disease in peritoneal dialysis and hemodialysis patients.,Prevalence of gastroesophageal <mask> <mask> in peritoneal dialysis and <mask> patients.
10688215,Upper gastrointestinal contrast study in the management of small bowel obstruction--a prospective randomised study.,Upper gastro<mask>testinal contrast study in the management of <mask> bowel <mask> prospective <mask> study.
10691230,Comparison of intravenous or epidural patient-controlled analgesia in the elderly after major abdominal surgery.,Comparison <mask> <mask> <mask> epidural patient-controlled analgesia in the elderly <mask> major abdominal surgery.
10693165,"Longitudinal study of weight, appetite, performance status, and inflammation in advanced gastrointestinal cancer.","Longitudinal <mask> of weight, <mask> <mask> status, and <mask> in advanced gastrointestinal cancer."
10693696,Glucagonlike peptide-2 analogue enhances intestinal mucosal mass after ischemia and reperfusion.,Glucagonlike <mask> analogue enhances <mask> mucosal <mask> after ischemia and reperfusion.
10693734,Orlistat in the long-term treatment of obesity in primary care settings.,Orlistat <mask> the long-term treatment of <mask> <mask> primary care settings.
10694069,A systematic history for the patient with chronic pelvic pain.,<mask> systematic history for <mask> patient <mask> chronic pelvic pain.
10694283,Obscure gastrointestinal bleeding: an approach to management.,Obscure <mask> bleeding: an <mask> to management.
10694347,"Esophageal atresia in the Northern Region Congenital Anomaly Survey, 1985-1997: prenatal diagnosis and outcome.","Esophageal atresia in <mask> Northern Region Congenital Anomaly Survey, <mask> <mask> <mask> and outcome."
10699767,"A performance, safety and cost comparison of reusable and disposable endoscopic biopsy forceps: a prospective, randomized trial.","A <mask> <mask> and cost <mask> of <mask> and disposable endoscopic biopsy <mask> a prospective, randomized trial."
10707596,Celiac disease in adults.,Celiac <mask> in adults.
10711924,Circumferential mucosectomy (stapled haemorrhoidectomy) versus conventional haemorrhoidectomy: randomised controlled trial.,Circumferential mucosectomy (stapled <mask> <mask> conventional haemorrhoidectomy: <mask> controlled trial.
10715646,Report on bariatric surgery in the Ukraine.,Report on bariatric <mask> in <mask> Ukraine.
10717919,Prevalence of and risk factors for gallstones in female population of Novosibirsk.,Prevalence of <mask> risk factors for gallstones in female <mask> of Novosibirsk.
10718900,Differences between generalists and specialists in characteristics of patients receiving gastrointestinal procedures.,<mask> between <mask> and specialists in characteristics of <mask> receiving gastrointestinal procedures.
10719457,Rational diagnostic imaging of pelvic and acetabulum injuries.,Rational diagnostic <mask> of pelvic <mask> acetabulum injuries.
