,highlights,paraphrased_highlights
74,Surgical treatment of complete rectal prolapse: results of abdominal and perineal approaches.,Surgical treatment of complete rectal prolapse: results of abdominal and perineal approaches.
75,Effects of parenteral nutrition support and chemotherapy on the phasic composition of tumor cells in gastrointestinal cancer.,Effects of parenteral nutrition support and chemotherapy on the phasic composition of tumor cells in gastrointestinal cancer.
76,Calculation of esophageal variceal wall tension by direct sonographic and manometric measurements.,Calculation of the esophageal variceal wall tension by direct sonographic and manometric measurements.
77,Ruptured primary splenic angiosarcoma into the colon. Presentation as anal bleeding.,"Ruptured primary splenic angiosarcoma into the colon, presentation as anal bleeding."
78,Orlistat (Xenical).,Orlistat (Xenical).
79,Diagnostic value of fine needle aspiration biopsy of palpable colonic masses.,Diagnostic value of fine needle biopsy of palpable colon masses
80,Syncope in hospital internal medicine.,Syncope in hospital internal medicine.
81,Intestinal preparation for colon enema with fleet sodium phosphate: comparative study with the conventional method.,Intestinal preparation for colon enema with flotilla sodium phosphate : comparative study with the conventional method
82,A modified quantitative subjective global assessment of nutrition for dialysis patients.,A modified quantitative subjective global assessment of nutrition for dialysis patients.
83,"Colonic tuberculosis: clinical features, endoscopic appearance and management.","Colonic tuberculosis: clinical features, endoscopic appearance and management"
84,The efficacy of low-dose oral corticosteroids in the treatment of vitiligo patients.,The efficacy of low-dose oral corticosteroids in the treatment of vitiligo patients
85,Prevalence of malnutrition in surgical patients: evaluation of nutritional support and documentation.,The prevalence of malnutrition in surgical patients : assessment of nutritional support and documentation
86,Functional disorders of the biliary tract and pancreas.,Functional disorders of the bile duct and pancreas.
87,Foreign bodies of gastrointestinal tract.,Foreign bodies of the gastro-intestinal tract.
88,Neurogenic bladder dysfunction.,Neurogenic bladder dysfunction
89,Mantle cell lymphoma in leukemic phase: characterization of its broad cytologic spectrum with emphasis on the importance of distinction from other chronic lymphoproliferative disorders.,Mantle cell lymphoma in leukemic phase: characterization of its broad cytologic spectrum with emphasis on the importance of differentiation from other chronic lymphoproliferative disorders
90,Nabumetone induces less gastrointestinal mucosal changes than diclofenac retard.,Nabumetone induces less gastrointestinal mucosal changes than diclofenac retards.
91,"Effect of doxapram on episodes of apnoea, bradycardia and hypoxaemia in preterm infants.","Effect of doxapram on episodes of apnoea, bradycardia and hypoxaemia in preterm infants"
92,The relative potency of oral transmucosal fentanyl citrate compared with intravenous morphine in the treatment of moderate to severe postoperative pain.,The relative potency of oral transmucosal fentanyl citrate compared with intravenous morphine in the treatment of moderate to severe postoperative pain.
93,Gastrointestinal symptoms in Chinese patients with Type 2 diabetes mellitus.,Gastrointestinal symptoms in Chinese patients with Type 2 diabetes mellitus.
94,Leiomyomas of small bowel.,Leiomyomas of the small intestine.
95,Enterotrophic effects of glucagon-like peptide 2 are enhanced by neurotensin.,The enterotrophic effects of Glucagon-like peptide 2 are enhanced by neurotensin.
96,Three-year results of laparoscopic vertical banded gastroplasty.,Three-year results of laparoscopic vertical band gastroplasty
97,Balloon dilatation in achalasia cardia.,Balloon dilatation in Achalasia cardia.
98,Lymphonodular hyperplasia on the duodenal bulb indicates food allergy in children.,Lymphonodular hyperplasia on the duodenal bulb indicates food allergy in children.
99,Primary neoplasms of the jejunum-ileum. The clinico-diagnostic and surgical therapy considerations: the clinical cases and a retrospective study of our experience.,"Primary neoplasms of the Jejunum-Eilum, clinico-diagnostic and surgical approaches: clinical cases and a retrospective study of our experience"
100,Somatic electrical nerve stimulation regulates the motility of sphincter of Oddi in rabbits and cats: evidence for a somatovisceral reflex mediated by cholecystokinin.,Somatic electrical nerve stimulation regulates the sphincter of Oddi in rabbits and cats: evidence for a somatovisceral reflex mediated by cholecystokinin
101,Increased lipid utilization in weight losing and weight stable cancer patients with normal body weight.,Increased lipid consumption in weight loss and weight stable cancer patients with normal body weight.
102,Different prevalences of reflux oesophagitis and hiatus hernia among dyspeptic patients in England and Singapore.,Different prevalences of reflux oesophagitis and hiatus hernia among dyspeptic patients in England and Singapore.
103,Determinants of Helicobacter pylori seroprevalence among Italian blood donors.,Determinants of seroprevalence of Helicobacter pylori among Italian blood donors
104,Cerebellar infarct with complications.,Infarction Cerebellar with complications.
105,"How does colorectal cancer present? Symptoms, duration, and clues to location.","How does colorectal cancer appear? Symptoms, duration, and clues to the location."
106,Reoperative laparoscopic antireflux surgery.,Reoperative laparoscopic antireflux surgery.
107,Helicobacter pylori and prurigo nodularis.,Helicobacter pylori and prurigo nodularis
108,An oral sensitization model in Brown Norway rats to screen for potential allergenicity of food proteins.,An oral sensitization model in Brown Norway rats to screen for potential allergenicity of food proteins.
109,Laparoscopic adjustable silicone gastric banding: radiological appearances of a new surgical treatment for morbid obesity.,Laparoscopic adjustable silicone gastric banding: radiographic appearance of a new surgical treatment for morbid obesity
110,Colonic polyps in children. Experience with polypectomy.,Colonic polyps in children. Experience of polypectomy.
111,Endoscopic and histologic healing of Crohn's (ileo-) colitis with azathioprine.,Endoscopic and histologic healing of Crohn’s (ileo-) colitis with azathioprine
112,Orlistat. No hurry....,Orlistat - No hurry....
113,Extraesophageal autonomic dysfunction in patients with achalasia.,Extraesophageal autonomic dysfunction in patients with achalasia.
114,"Study of the month. Long-term (1-2 years) clinical trials with orlistat, a new drug for the treatment of obesity.","Study of the month; Long-term (1-2 years) clinical trials with orlistat, a new drug for the treatment of obesity."
115,Primary anaplastic large cell lymphoma of the small intestine.,Primary anaplastic Large Cell lymphoma of the small intestinal lining
116,Hiccup.,Hiccup.
117,"Erucylphosphocholine: pharmacokinetics, biodistribution and CNS-accumulation in the rat after intravenous administration.","Pharmacokinetics, biodistribution and CNS accumulation in rats after intravenous administration"
118,Orlistat: a review of its use in the management of obesity.,Orlistat: Review of its use in management of Obesity
119,Characteristics and prevalence of Helicobacter heilmannii infection in children undergoing upper gastrointestinal endoscopy.,Characteristics and prevalence of Helicobacter heilmannii infection in children undergoing upper gastrointestinal endoscopy
120,Malabsorptive procedures for severe obesity: comparison of pancreaticobiliary bypass and very very long limb Roux-en-Y gastric bypass.,Malabsorptive procedures for severe obesity: comparison of pancreaticobiliary bypass and very long limb Roux-en-Y gastric bypass.
121,Helicobacter pylori and Behçet's disease.,Helicobacter pylori and Behçet's disease.
122,Down syndrome: perinatal complications and counseling experiences in 216 patients.,Down syndrome: perinatal complications and counseling experiences in 216 patients
123,Intra amniotic candidiasis. Case report and meta-analysis of 54 cases.,Intra amniotic candidiasis. Case report and meta-analysis of 54 cases
124,Obesity surgery: a model of programmed undernutrition.,Obesity surgery: A model of programmed undernutrition
125,Myogenic tumors of the digestive tract.,Myogenic tumors of the digestive tract.
126,Predictors of large esophageal varices in patients with cirrhosis.,Predictors of large esophageal varices in patients with cirrhosis
127,Early postoperative feeding with elemental diet.,Early postoperative feeding with elemental diet.
128,"Changes in weight, fluid balance and serum albumin in patients referred for nutritional support.","Changes in weight, fluid balance and serum albumin in patients who are referred for nutritional support"
129,"Ultrasonography in the evaluation of extension, activity, and follow-up of ulcerative colitis.","Ultrasonography in evaluation of expansion, activity and follow up of ulcerative colitis."
130,Lysosomal inclusions in gastric parietal cells in mucolipidosis type IV: a novel cause of achlorhydria and hypergastrinemia.,Lysosomal inclusions in gastric parietal cells in mucolipidosis type IV : a novel cause of achlorhydria and hypergastrinemia
131,Patient subgroups in irritable bowel syndrome that can be defined by symptom evaluation and physical examination.,Patient subgroups in the irritable bowel syndrome are defined by symptom evaluation and physical examination.
132,Isolated jejunal tuberculosis mimicking Crohn disease. Diagnosis by push video-enteroscopy.,Isolated jejunal tuberculosis mimicking Crohn disease diagnosis by video - entry.
133,Core mental state in irritable bowel syndrome.,Core mental state in irritable bowel syndrome
134,Long-term results of octreotide-therapy in severe dumping syndrome.,Long-term results of octreotide-therapy in severe dumping syndrome
135,Doxazosin GITS compared with doxazosin standard and placebo in patients with mild hypertension.,Doxazosin GITS compared to the standard doxazosin and placebo in patients with mild hypertension
136,Preventive sclerotherapy of esophageal varices with a high risk of hemorrhage: a prospective randomized controlled study.,Preventive sclerotherapy of esophageal varices with high risk of hemorrhage: a prospective randomized controlled study
137,Renal transplantation in children under 5 years of age.,Renal transplantation in children under five years old.
138,"Treatment of functional dyspepsia with a fixed peppermint oil and caraway oil combination preparation as compared to cisapride. A multicenter, reference-controlled double-blind equivalence study.","Its treatment of functional dyspepsia with a fixed preparation of peppermint oil and caraway oil compared to cisapride : a double-blind, reference controlled equivalence study"
139,"Intestinal tuberculosis, a difficult suspected diagnosis.","Intestinal tuberculosis, a difficult suspected diagnosis."
140,Celecoxib versus diclofenac in long-term management of rheumatoid arthritis: randomised double-blind comparison.,"In long-term treatment of rheumatoid arthritis, Celecoxib versus Diclofenac : Randomized double-blind comparison"
141,"Use of serology, the urease test & histology in diagnosis of Helicobacter pylori infection in symptomatic & asymptomatic Indians.","Use of serology, the urinary test & histology in the diagnosis of Helicobacter pylori infection in symptomatic and asymptomatic Indians."
142,Does famotidine have similar efficacy to misoprostol in the treatment of non-steroidal anti-inflammatory drug-induced gastropathy?,Has famotidine a similar efficacy to misoprostol in the treatment of non-steroidal anti-inflammatory drug-induced gastropathy?
143,Digestive carcinoid tumors: often undiagnosed endocrine tumors (a case report).,Digestive carcinoid tumors: often undiagnosed endocrine tumors (a case report).
144,Future trends in weight management.,Future trends in weight management.
145,"Orlistat, a gastrointestinal lipase inhibitor, in therapy of obesity with concomitant hyperlipidemia.","Orlistat, a gastrointestinal lipase inhibitor, in the treatment of obesity with concomitant hyperlipidemia."
146,Very low birth weight infants--mortality and predictive risk factors.,Very low birth weight infants -- mortality and predictive risk factors.
147,Intraperitoneal versus intravenous CPT-11 for peritoneal seeding and liver metastasis.,Intraperitoneal versus intravenous CPT-11 for peritoneal seeding and liver metastasis.
148,Duodenojejunitis: is it idiopathic or is it Henoch-Schönlein purpura without the purpura?,Duodenojejunitis : Is it idiopathic or is it Henoch-Schönlein purpura without purpura?
149,Importance-satisfaction discrepancies are associated with health-related quality of life in five-year survivors of endocrine gastrointestinal tumours.,Importance-satisfaction discrepancies are associated with health-related quality of life in five-year survivors of endocrine gastrointestinal tumours.
150,Phase I clinical study of fish oil fatty acid capsules for patients with cancer cachexia: cancer and leukemia group B study 9473.,Phase I clinical study of fish oil fatty acid capsules for patients with cancer cachexia : Cancer and Leukemia Study 9473
151,"A double-blind, randomized, placebo-controlled dose-ranging study to evaluate the efficacy of alosetron in the treatment of irritable bowel syndrome.","A double-blind, randomized, placebo controlled dose-ranging study to evaluate the efficacy of alosetron in the treatment of irritable bowel syndrome."
152,Effect of orlistat on blood cyclosporin concentration in an obese heart transplant patient.,Effect of orlistat on blood cyclosporin concentration in an obese heart transplant patient.
153,Role of radiologic contrast studies in the early postoperative period after bariatric surgery.,Role of radiologic contrast studies in early postoperative period after bariatric surgery.
154,Quality-of-life outcome after laparoscopic adjustable gastric banding for morbid obesity.,Quality of life after laparoscopic adjustable gastric banding for morbid obesity.
155,Significance of detecting Epstein-Barr-specific sequences in the peripheral blood of asymptomatic pediatric liver transplant recipients.,Significance of detecting epstein-barr-specific sequences in peripheral blood of asymptomatic pediatric liver transplant recipients.
156,Triple therapy in the eradication of Helicobacter pylori in patients with duodenal ulcer disease: results of a multicentre study in South-East Asia. South-East Asia Multicenter Study Group.,Triple therapy in the eradication of Helicobacter pylori in patients with duodenal ulcer disease: results of a multicentre study in South East Asia Multicenter Study Group
157,Endosonographic examination of gastrointestinal anastomoses with suspected locoregional tumor recurrence.,Endosonographic examination of gastrointestinal anastomoses with suspected locoregional tumor recurrence
158,Changes in mesenteric blood flow response to feeding: conventional versus fiber-optic phototherapy.,Changes in the mesenteric blood flow response to feeding: conventional versus fibre-optic phototherapy
159,A risk scoring system to predict outcome of non-variceal upper gastrointestinal bleeding in Thai patients.,A risk scoring system to predict the outcome of non-variceal upper gastrointestinal bleeding in Thai patients
160,Good clinical practice in nutritional management in cancer patients: malnutrition and nutritional assessment.,Good Clinical Practice in the Nutrition Management of Cancer Patients : Malnutrition and Nutrition assessment.
161,Actinomycosis of the colon: a rare form of presentation.,Actinomycosis of the colon: a rare form of presentation
162,Enteropathy-type intestinal T-cell lymphoma: clinical features and treatment of 31 patients in a single center.,Enteropathy-type intestinal T cell lymphoma: clinical features and treatment of 31 patients in a single center.
163,Chelation therapy in patients with thalassemia using the orally active iron chelator deferiprone (L1).,Chelation therapy in patients with Thalassemia with the deferiprone (orally active iron chelator).
164,Prevalence of gastroesophageal reflux disease in peritoneal dialysis and hemodialysis patients.,Prevalence of gastroesophageal reflux disease in peritoneal dialysis and hemodialysis patients.
165,Upper gastrointestinal contrast study in the management of small bowel obstruction--a prospective randomised study.,Upper gastrointestinal contrast study in the management of small bowel obstruction--a prospective randomised study
166,Comparison of intravenous or epidural patient-controlled analgesia in the elderly after major abdominal surgery.,Comparison of intravenous or epidural patient controlled analgesia in elderly after major abdominal surgery.
167,"Longitudinal study of weight, appetite, performance status, and inflammation in advanced gastrointestinal cancer.","Longitudinal study of weight, appetite, performance and inflammation in advanced gastrointestinal cancer."
168,Glucagonlike peptide-2 analogue enhances intestinal mucosal mass after ischemia and reperfusion.,Glucagonlike peptide-2 analogue enhances intestinal mucosa mass after Ischemic & Reperfusion.
169,Orlistat in the long-term treatment of obesity in primary care settings.,Orlistat for long-term treatment of obesity in primary care settings.
170,A systematic history for the patient with chronic pelvic pain.,A systematic history for the patient with chronic pelvic pain.
171,Obscure gastrointestinal bleeding: an approach to management.,Obscure gastrointestinal bleeding: an approach to management.
172,"Esophageal atresia in the Northern Region Congenital Anomaly Survey, 1985-1997: prenatal diagnosis and outcome.",Esophageal atresia in the Northern Region Congenital Anomaly Survey: Prenatal diagnosis and outcome.
173,"A performance, safety and cost comparison of reusable and disposable endoscopic biopsy forceps: a prospective, randomized trial.","A performance, safety and cost comparison of reusable and disposable endoscopic biopsy forceps: a prospective, randomized trial."
174,Celiac disease in adults.,Celiac disease in adulters
175,Circumferential mucosectomy (stapled haemorrhoidectomy) versus conventional haemorrhoidectomy: randomised controlled trial.,Circumferential mucosectomy (stapled haemorrhoidectomy) versus conventional haemorrhoidectomy: randomised controlled trial
176,Report on bariatric surgery in the Ukraine.,Report on bariatric surgery in Ukraine
177,Prevalence of and risk factors for gallstones in female population of Novosibirsk., Prevalence and risk factors for gallstones in female population of Novosibirsk ''
178,Differences between generalists and specialists in characteristics of patients receiving gastrointestinal procedures.,Differences between generalists and specialists in characteristics of patients receiving gastroenterology procedures
179,Rational diagnostic imaging of pelvic and acetabulum injuries.,Diagnostic imaging of pelvic and acetabulum injuries.
180,Endoscopic scoring of late rectal mucosal damage after conformal radiotherapy for prostatic carcinoma.,Endoscopic scoring of late rectal mucosal damage after conformal radiotherapy for prostatic carcinoma
181,Severe hypertension induced by the long-acting somatostatin analogue sandostatin LAR in a patient with diabetic autonomic neuropathy.,Severe hypertension induced by the long-acting somatostatin analogue LAR in a patient with diabetic autonomic neuropathy.
182,Comparison of dual-energy X-ray absorptiometry to four other methods to determine body composition in underweight patients with chronic gastrointestinal disease.,Comparison of dual-energy X-ray absorptiometry to four other methods to determine body composition in underweight patients with chronic gastrointestinal disease.
183,An evaluation of whole blood testing for Helicobacter pylori infection in the Chinese population.,An evaluation of whole blood testing for Helicobacter pylori infection in the Chinese population.
184,Fasting induces impairment of gastric mucosal integrity in non-insulin-dependent diabetic (db/db) mice.,Fasting insinuates impairment of gastric mucosal integrity in non-insulin-dependent diabetic (db/db) mice.
185,"Effect of continuous epidural 0.2% ropivacaine vs 0.2% bupivacaine on postoperative pain, motor block and gastrointestinal function after abdominal hysterectomy.","Effect of continuous epidural 0.2% ropivacaine vs 0.2% bupivacaine on postoperative pain, motor blockage and gastrointestinal function after abdominal hysterectomy"
186,Is 1-week treatment for peptic ulcer healing sufficient and safe?,Is a 1-week treatment for the healing of peptic ulcers sufficient and safe?
187,Antiobesity pharmacotherapy in the management of type 2 diabetes.,Antiobesity pharmacotherapy in management of type 2 diabetes
188,The role of radiology in assessing patients with pathological obesity submitted to modified Mason's vertical gastroplasty. A study of 322 cases.,The role of radiology in assessing patients with pathological obesity admitted to modified Mason's vertical gastroplasty - A study of 322 cases
189,Intermittent pneumatic compression on the calf improves peripheral circulation of the leg.,Intermittent pneumatic compression on the calf improves peripheral circulation of the leg.
190,"One-year treatment of obesity: a randomized, double-blind, placebo-controlled, multicentre study of orlistat, a gastrointestinal lipase inhibitor.","One-year treatment of obesity: randomized, double-blind, placebo-controlled, multicenter study of orlistat, a gastrointestinal lipase inhibitor"
191,Cardiovascular autonomic function in patients with primary achalasia.,Cardiovascular autonomic function in patients with primary achalasia
192,Further validation of the IBS-QOL: a disease-specific quality-of-life questionnaire.,Further validation of IBS-QOL: a disease specific quality of life questionnaire.
193,Benefits of complete polyamine deprivation in hormone responsive and hormone resistant MCF-7 human breast adenocarcinoma in vivo.,Benefits of total polyamine deprivation in in vivo hormone-responsive and hormone resistant MCF-7 human breast adenocarcinoma.
